# 2026-09-02 15:09 CST (mac): Record the reproducible local-only literature archive for both hosts; PDF payloads under downloads/ are intentionally ignored by Git.
category	year	title	url	filename	bytes	pages	sha256
apple	2022	Seamless GPU acceleration for C++ based physics with unified memory and Metal	https://arxiv.org/abs/2206.01791	APPLE_2022_Metal_scientific_Cpp_arXiv2206.01791.pdf	786737	6	391ee17dc5924df5791237b807f5e72e3982c370f521fc5c6c705d3d5fad4eab
apple	2022	Apple Silicon Performance in Scientific Computing	https://arxiv.org/abs/2211.00720	APPLE_2022_scientific_performance_arXiv2211.00720.pdf	232211	10	854701acf99366870c260ad24b3e16ba1653c3754747d1ee1b72ff4c43fc45d5
apple	2023	MLX: Efficient and flexible machine learning on Apple silicon	https://arxiv.org/abs/2312.07104	APPLE_2023_MLX_arXiv2312.07104.pdf	1383463	20	161e0a0123a89cd8a57d68734ae704680b0e577fee41e1e7e1029c37a9d99b57
apple	2025	Apple vs. Oranges: Evaluating the Apple Silicon M-Series SoCs for HPC	https://arxiv.org/abs/2502.05317	APPLE_2025_M_series_HPC_arXiv2502.05317.pdf	778470	15	a38c205a9770a1d8f7a56f15ebb99c131d74aa84454a4ab7e945f9e2a9f82edf
apple	2026	Metal-Sci: A Scientific Compute Benchmark for Evolutionary LLM Kernel Search on Apple Silicon	https://arxiv.org/abs/2605.09708	APPLE_2026_Metal_Sci_benchmark_arXiv2605.09708.pdf	903860	14	440baedbe391499779b0753b3896b63057b1a448f667c2a2155d1070b5a5f9eb
apple	2026	Metal Feature Set Tables	https://developer.apple.com/metal/Metal-Feature-Set-Tables.pdf	APPLE_Metal_Feature_Set_Tables_2026-06.pdf	3041713	18	9f31df15dd6827545702c5a0845f6e36e1889878cd0e534123bd70211e5c00a8
apple	2026	Metal Shading Language Specification	https://developer.apple.com/metal/Metal-Shading-Language-Specification.pdf	APPLE_Metal_Shading_Language_Specification_2026-06.pdf	14564497	383	41538b30d2f1140a5b2a0c84ce0a9f7b67bf0c707e224cfea0bfe5a44aa26cf5
signal	2005	FINDCHIRP: an algorithm for detection of gravitational waves from inspiraling compact binaries	https://arxiv.org/abs/gr-qc/0509116	DSP_2005_FINDCHIRP_arXiv_gr-qc0509116.pdf	488979	19	79284a4a750df28511531a60dd5e193a48747683809146bf6ffe0cc88538fe08
signal	2013	Gravitational wave parameter estimation with compressed likelihood evaluations	https://arxiv.org/abs/1304.0462	DSP_2013_reduced_order_quadrature_arXiv1304.0462.pdf	972101	18	de7c68a9a25e55d4b8ea6bbc33fcda66c1113bc808dd630a10e130c13e9efbd8
signal	2018	A parallel non-uniform fast Fourier transform library based on an exponential-of-semicircle kernel	https://arxiv.org/abs/1808.06736	DSP_2018_FINUFFT_arXiv1808.06736.pdf	3074856	25	198801e48c7a2566559bcc30a8ede7ad5d3909a4f87d1109a8a3499475213942
signal	2018	Relative Binning and Fast Likelihood Evaluation for Gravitational Wave Parameter Estimation	https://arxiv.org/abs/1806.08792	DSP_2018_relative_binning_arXiv1806.08792.pdf	1268283	5	05d0809f902eb371ed0e27e330e7cd89723f9d4932ba131c1f8c733b90c8fe03
signal	2021	cuFINUFFT: a load-balanced GPU library for general-purpose nonuniform FFTs	https://arxiv.org/abs/2102.08463	DSP_2021_cuFINUFFT_arXiv2102.08463.pdf	1537431	10	29aa6d046726d554d104009159029729ec217ecafed688a82596f32995eec6ae
signal	2021	Heterodyned Likelihood for Rapid Gravitational Wave Parameter Inference	https://arxiv.org/abs/2109.02728	DSP_2021_heterodyned_likelihood_arXiv2109.02728.pdf	1205252	8	2c5d1c6a264c6318539c1d7dc5ea447d0d4ebf7aceecbcbac36b13160710f26e
emri	2017	Augmented kludge waveforms for detecting extreme-mass-ratio inspirals	https://arxiv.org/abs/1705.04259	EMRI_2017_augmented_kludge_arXiv1705.04259.pdf	2915621	16	c2e3901878564340c4cf64715ed3a2ecf36ceb863ae093abc18f442d32c30575
emri	2020	Adiabatic waveforms for extreme mass-ratio inspirals via multivoice decomposition in time and frequency	https://arxiv.org/abs/2008.13554	EMRI_2020_equatorial_adiabatic_arXiv2008.13554.pdf	2590474	18	b5044665b26ec0ce352c4670a61e9944ce6949cd2e4f0bb25ba5498df57a50f6
few	2021	FastEMRIWaveforms: New tools for millihertz gravitational-wave data analysis	https://arxiv.org/abs/2104.04582	FEW_2021_framework_arXiv2104.04582.pdf	1847781	26	7e0d939c9f1d257b07699225e402ae9c82940f887eed525b431478e3c56b5cfb
few	2021	Rapid generation of fully relativistic extreme-mass-ratio-inspiral waveform templates for LISA data analysis	https://arxiv.org/abs/2008.06071	FEW_2021_rapid_relativistic_templates_arXiv2008.06071.pdf	534200	6	7e9c4cfcbef321269f48950accb09ce126ef90dee1c336a5731328c17c3d3b4e
few	2024	Fast and Fourier: Extreme Mass Ratio Inspiral Waveforms in the Frequency Domain	https://arxiv.org/abs/2307.12585	FEW_2024_fast_fourier_arXiv2307.12585.pdf	2223206	23	7ab5c12c24f79e5a0587627256ce882bee7050d41ef3a1876955148fed0426e1
few	2024	Relativistic extreme mass-ratio inspirals in non-vacuum spacetimes	https://arxiv.org/abs/2410.17310	FEW_2024_relativistic_LISA_science_arXiv2410.17310.pdf	4810632	23	dd8f9157a0bf28376234489a2db0c8df6faf0fa3fdcca7e7e819c486dbe606c2
